,cs_study,cs_work,date,day_id,dow,econ_class,econ_study,econ_work,fun,gym,ieor_class,ieor_study,ieor_work,lab_prep,reading,sleep,stat_class,stat_study,stat_work,talentiq
0,0.0,0.0,2017-01-24,1,tuesday,2.5,0.0,0.0,1,no,1.0,0.0,0.0,0.0,0,5:50,1.5,0.0,0.5,0.0
1,2.0,0.0,2017-01-25,2,wednesday,0.0,0.0,0.5,1,no,0.0,0.0,0.0,0.0,0,9:00,0.0,0.0,0.5,0.0
2,0.0,0.5,2017-01-26,3,thursday,2.5,0.5,0.5,1,no,1.0,0.0,0.0,0.0,32,7:34,1.5,0.0,0.0,0.0
3,0.0,0.0,2017-01-27,4,friday,0.0,0.5,2.5,1,no,1.0,0.0,0.0,0.0,0,9:54,2.0,0.0,0.0,0.0
4,1.0,0.0,2017-01-28,5,saturday,0.0,0.0,0.0,1,no,0.0,0.0,2.0,0.0,0,7:59,0.0,0.0,0.0,0.0
5,1.5,1.5,2017-01-29,6,sunday,0.0,0.0,0.0,1,no,0.0,0.5,1.0,0.0,0,8:49,0.0,0.0,0.0,0.0
6,0.0,0.0,2017-01-30,7,monday,0.0,0.5,0.0,2,no,0.0,0.0,0.0,1.0,30,8:12,0.0,0.5,1.0,0.0
7,0.0,1.0,2017-01-31,8,tuesday,2.5,0.0,0.0,1,no,1.0,0.0,0.8,1.5,0,6:51,1.5,0.0,0.5,0.0
8,0.0,0.0,2017-02-01,9,wednesday,0.0,0.0,0.0,1,no,0.0,0.0,0.0,0.0,0,5:58,0.0,0.0,0.0,0.0
9,0.0,0.0,2017-02-02,10,thursday,2.5,0.0,0.0,1,no,1.0,0.0,0.5,0.0,0,7:13,1.5,0.5,1.5,0.0
10,0.0,0.0,2017-02-03,11,friday,0.0,0.0,0.0,1,no,1.0,0.0,0.0,0.0,0,8:04,2.0,0.0,0.0,0.0
11,0.0,0.0,2017-02-04,12,saturday,0.0,0.5,0.0,1,no,0.0,0.0,1.0,0.0,0,10:30,0.0,0.0,0.0,0.0
12,0.5,0.0,2017-02-05,13,sunday,0.0,1.0,0.0,1,no,0.0,0.0,1.0,0.0,0,7:15,0.0,0.5,0.0,0.0
13,0.0,0.5,2017-02-06,14,monday,0.0,0.0,0.0,1,yes,0.0,0.0,0.0,0.0,0,9:15,0.0,1.5,0.5,0.0
14,0.0,1.5,2017-02-07,15,tuesday,2.5,0.0,0.0,1,no,1.0,1.0,0.0,1.5,0,6:50,2.0,0.0,0.0,0.0
15,1.5,0.0,2017-02-08,16,wednesday,0.0,0.0,0.0,1,no,0.0,0.0,0.0,0.0,0,6:44,0.0,1.5,2.0,0.0
16,0.0,0.0,2017-02-09,17,thursday,2.5,0.0,0.0,1,no,1.0,0.5,0.0,0.0,0,8:58,1.5,2.0,0.0,0.0
17,0.0,2.5,2017-02-10,18,friday,0.0,0.0,0.0,1,no,1.0,0.0,0.0,0.0,0,9:00,1.0,0.0,0.0,0.0
18,0.0,0.0,2017-02-11,19,saturday,0.0,0.0,1.0,1,no,0.0,1.0,0.5,0.0,0,9:12,0.0,0.0,0.0,0.0
19,0.0,0.5,2017-02-12,20,sunday,0.0,0.0,2.0,1,no,0.0,0.0,2.0,0.0,0,8:35,0.0,0.0,0.0,0.0
20,0.0,0.5,2017-02-13,21,monday,0.0,0.0,0.0,1,no,0.0,0.5,0.0,0.0,0,8:34,0.0,0.0,0.0,0.0
21,0.0,0.5,2017-02-14,22,tuesday,2.5,0.0,0.0,1,no,1.0,0.0,0.5,0.5,0,7:20,1.5,0.0,2.0,0.0
22,0.0,0.0,2017-02-15,23,wednesday,0.0,1.0,1.0,1,no,0.0,2.5,0.0,0.0,0,7:46,0.0,0.0,1.5,0.0
23,0.0,0.0,2017-02-16,24,thursday,1.0,0.0,0.0,1,no,1.0,0.0,1.5,0.0,0,9:30,1.5,0.0,1.0,0.0
24,0.0,0.0,2017-02-17,25,friday,0.0,2.0,0.0,3,no,1.0,0.0,0.0,0.0,0,7:54,1.0,0.0,1.0,0.0
25,0.0,0.0,2017-02-18,26,saturday,0.0,0.0,0.0,3,no,0.0,0.0,0.0,0.0,0,9:00,0.0,0.0,0.0,0.0
26,0.0,0.0,2017-02-19,27,sunday,0.0,6.0,0.0,3,no,0.0,0.0,0.5,0.0,0,6:31,0.0,0.0,0.0,0.0
27,0.0,0.0,2017-02-20,28,monday,0.0,1.5,0.0,1,no,0.0,0.0,0.0,0.0,0,9:00,0.0,0.0,0.0,0.0
28,0.5,0.0,2017-02-21,29,tuesday,1.5,0.0,0.0,1,no,1.0,0.0,0.0,0.0,0,7:25,1.5,0.0,1.0,0.0
29,0.5,0.0,2017-02-22,30,wednesday,0.0,0.0,0.0,2,no,0.0,1.5,2.0,0.0,0,8:00,0.0,0.0,0.0,0.0
30,1.5,0.0,2017-02-23,31,thursday,1.5,0.0,0.0,1,no,1.0,0.0,1.0,0.0,0,6:44,1.5,0.5,0.0,0.0
31,0.0,0.0,2017-02-24,32,friday,0.0,0.0,0.0,1,no,0.0,0.0,0.0,1.0,0,8:41,2.0,0.0,0.0,0.0
32,0.0,0.0,2017-02-25,33,saturday,0.0,0.0,0.0,1,no,0.0,1.0,1.5,2.5,0,9:00,0.0,0.0,1.0,0.0
33,0.0,0.0,2017-02-26,34,sunday,0.0,0.0,0.0,1,no,0.0,0.0,0.0,0.0,0,8:00,0.0,2.5,3.0,0.0
34,0.5,0.0,2017-02-27,35,monday,0.0,0.0,0.0,1,no,0.0,0.0,0.0,0.0,0,10:37,0.0,1.0,0.0,0.0
35,0.0,0.0,2017-02-28,36,tuesday,2.5,0.5,0.0,1,no,1.0,0.0,0.0,0.0,0,5:30,1.5,1.0,1.5,0.0
36,0.0,0.0,2017-03-01,37,wednesday,0.0,0.0,0.0,1,yes,0.0,0.0,0.0,0.0,0,8:00,0.0,6.0,1.5,0.0
37,0.0,0.0,2017-03-02,38,thursday,1.0,0.0,0.0,2,no,1.0,0.0,1.5,0.0,0,8:46,1.5,0.0,0.0,0.0
38,0.0,0.0,2017-03-03,39,friday,0.0,1.5,0.0,3,yes,1.0,0.0,0.0,0.5,0,7:52,2.0,0.0,0.0,0.0
39,0.0,0.0,2017-03-04,40,saturday,0.0,1.0,3.5,3,no,0.0,0.0,0.0,0.0,0,7:56,0.0,0.0,0.0,0.0
40,0.0,0.0,2017-03-05,41,sunday,0.0,0.0,0.0,1,no,0.0,0.5,2.0,0.0,0,8:21,0.0,0.0,0.0,0.0
41,1.0,1.0,2017-03-06,42,monday,0.0,0.0,2.0,1,no,0.0,0.0,0.0,0.0,0,9:15,0.0,0.5,0.0,0.0
42,0.0,0.5,2017-03-07,43,tuesday,2.5,0.0,1.5,1,no,1.0,0.0,0.0,0.0,0,5:29,1.5,0.5,1.5,0.0
43,0.0,1.0,2017-03-08,44,wednesday,0.0,0.0,2.0,1,no,0.0,0.0,0.0,0.0,0,6:13,0.0,0.5,2.5,0.0
44,0.0,0.0,2017-03-09,45,thursday,1.0,0.0,0.0,3,no,1.0,0.0,2.0,0.0,0,10:00,1.5,0.0,2.0,0.0
45,0.0,0.5,2017-03-10,46,friday,0.0,0.0,0.0,3,no,1.0,0.0,0.0,0.0,0,8:00,1.5,0.0,0.0,0.0
46,0.0,0.5,2017-03-11,47,saturday,0.0,0.0,0.0,3,no,0.0,0.0,0.0,0.0,0,9:00,0.0,0.0,0.0,0.0
47,0.0,2.0,2017-03-12,48,sunday,0.0,0.0,0.0,3,no,0.0,2.0,0.5,0.0,0,8:09,0.0,0.0,0.0,0.0
48,0.0,0.0,2017-03-12,49,sunday,0.0,0.5,0.0,3,no,0.0,0.0,4.0,0.0,0,7:58,0.0,0.0,0.0,0.0
